Support,Pattern,Decoded_Pattern
32,"[18, 4, 18]","[['?'], ['?'], ['?']]"
32,"[18, 4, 27]","[['?'], ['?'], ['?']]"
32,"[18, 43, 27]","[['?'], ['?'], ['?']]"
32,"[44, 44]","[['?'], ['?']]"
32,"[39, 38]","[['?'], ['?']]"
32,"[24, 22]","[['?'], ['?']]"
32,"[24, 27]","[['?'], ['?']]"
31,"[17, 43]","[['?'], ['?']]"
31,"[17, 11]","[['?'], ['?']]"
31,"[19, 43]","[['?'], ['?']]"
31,"[7, 38]","[['?'], ['?']]"
31,"[49, 7]","[['?'], ['?']]"
31,"[49, 11]","[['?'], ['?']]"
31,"[4, 43, 4]","[['?'], ['?'], ['?']]"
31,"[4, 43, 27]","[['?'], ['?'], ['?']]"
31,"[4, 48]","[['?'], ['?']]"
31,"[4, 38, 4]","[['?'], ['?'], ['?']]"
31,"[4, 27, 4]","[['?'], ['?'], ['?']]"
31,"[4, 3]","[['?'], ['?']]"
31,"[4, 0]","[['?'], ['?']]"
31,"[4, 19]","[['?'], ['?']]"
31,"[31, 38]","[['?'], ['?']]"
31,"[22, 21]","[['?'], ['?']]"
31,"[22, 0]","[['?'], ['?']]"
31,"[25, 38]","[['?'], ['?']]"
31,"[11, 38]","[['?'], ['?']]"
31,"[11, 20]","[['?'], ['?']]"
31,"[27, 17]","[['?'], ['?']]"
31,"[27, 7]","[['?'], ['?']]"
31,"[30, 43]","[['?'], ['?']]"
31,"[13, 38]","[['?'], ['?']]"
31,"[13, 22]","[['?'], ['?']]"
31,"[8, 22]","[['?'], ['?']]"
31,"[18, 27, 18]","[['?'], ['?'], ['?']]"
31,"[18, 17]","[['?'], ['?']]"
31,"[44, 4]","[['?'], ['?']]"
31,"[39, 39]","[['?'], ['?']]"
31,"[20, 22]","[['?'], ['?']]"
31,"[20, 38]","[['?'], ['?']]"
31,[34],[['?']]
30,"[17, 39]","[['?'], ['?']]"
30,"[19, 18]","[['?'], ['?']]"
30,"[43, 4, 43]","[['?'], ['?'], ['?']]"
30,"[43, 27, 4]","[['?'], ['?'], ['?']]"
30,"[4, 4, 20]","[['?'], ['?'], ['?']]"
30,"[4, 25]","[['?'], ['?']]"
30,"[4, 27, 27]","[['?'], ['?'], ['?']]"
30,"[4, 27, 18]","[['?'], ['?'], ['?']]"
30,"[4, 39, 4]","[['?'], ['?'], ['?']]"
30,"[31, 43]","[['?'], ['?']]"
30,"[22, 7]","[['?'], ['?']]"
30,"[22, 31]","[['?'], ['?']]"
30,"[22, 23]","[['?'], ['?']]"
30,"[22, 39]","[['?'], ['?']]"
30,"[38, 49]","[['?'], ['?']]"
30,"[27, 4, 27]","[['?'], ['?'], ['?']]"
30,"[30, 20]","[['?'], ['?']]"
30,"[45, 4]","[['?'], ['?']]"
30,"[20, 11]","[['?'], ['?']]"
30,"[47, 4]","[['?'], ['?']]"
30,"[0, 43]","[['?'], ['?']]"
30,"[0, 31]","[['?'], ['?']]"
29,"[17, 22]","[['?'], ['?']]"
29,"[17, 38]","[['?'], ['?']]"
29,"[19, 22]","[['?'], ['?']]"
29,"[7, 22]","[['?'], ['?']]"
29,"[49, 20]","[['?'], ['?']]"
29,"[49, 39]","[['?'], ['?']]"
29,"[49, 8]","[['?'], ['?']]"
29,"[43, 43, 43]","[['?'], ['?'], ['?']]"
29,"[43, 43, 27]","[['?'], ['?'], ['?']]"
29,"[43, 38, 27]","[['?'], ['?'], ['?']]"
29,"[4, 38, 27]","[['?'], ['?'], ['?']]"
29,"[4, 23]","[['?'], ['?']]"
29,"[4, 46]","[['?'], ['?']]"
29,"[31, 4]","[['?'], ['?']]"
29,"[22, 22, 22]","[['?'], ['?'], ['?']]"
29,"[22, 8]","[['?'], ['?']]"
29,"[48, 4]","[['?'], ['?']]"
29,"[38, 4, 4]","[['?'], ['?'], ['?']]"
29,"[38, 7]","[['?'], ['?']]"
29,"[38, 43, 27]","[['?'], ['?'], ['?']]"
