minsup,Pattern,Support
10,"[(12,), (12,), (12,), (12,), (7, 8), (12,)]",10
10,"[(12,), (12,), (12,), (12,), (7, 8), (8,)]",13
10,"[(12,), (12,), (12,), (12,), (7, 8), (7, 8)]",12
10,"[(12,), (12,), (12,), (12,), (7, 8)]",17
10,"[(12,), (12,), (12,), (12,), (7,), (12,), (12,)]",11
10,"[(12,), (12,), (12,), (12,), (7,), (12,), (8,)]",10
10,"[(12,), (12,), (12,), (12,), (7,), (12,), (7,)]",10
10,"[(12,), (12,), (12,), (12,), (7,), (12,)]",15
10,"[(12,), (12,), (12,), (12,), (7,), (8,)]",12
10,"[(12,), (12,), (12,), (12,), (7,), (7, 8), (8,)]",11
10,"[(12,), (12,), (12,), (12,), (7,), (7, 8)]",15
10,"[(12,), (12,), (12,), (12,), (7,), (7,), (12,)]",10
10,"[(12,), (12,), (12,), (12,), (7,), (7,)]",12
10,"[(12,), (12,), (12,), (12,), (7,)]",18
10,"[(12,), (12,), (12,), (12,)]",37
10,"[(12,), (12,), (12,), (8,), (12,), (12,), (12,)]",10
10,"[(12,), (12,), (12,), (8,), (12,), (12,)]",13
10,"[(12,), (12,), (12,), (8,), (12,), (8,)]",13
10,"[(12,), (12,), (12,), (8,), (12,), (7,), (12,)]",10
10,"[(12,), (12,), (12,), (8,), (12,), (7,)]",10
10,"[(12,), (12,), (12,), (8,), (12,)]",19
10,"[(12,), (12,), (12,), (8,), (8,), (12,), (12,)]",11
10,"[(12,), (12,), (12,), (8,), (8,), (12,)]",16
10,"[(12,), (12,), (12,), (8,), (8,), (8,)]",13
10,"[(12,), (12,), (12,), (8,), (8,), (7,), (12,)]",11
10,"[(12,), (12,), (12,), (8,), (8,), (7,)]",11
10,"[(12,), (12,), (12,), (8,), (8,)]",24
10,"[(12,), (12,), (12,), (8,), (7, 8), (8,)]",11
10,"[(12,), (12,), (12,), (8,), (7, 8)]",13
10,"[(12,), (12,), (12,), (8,), (7,), (12,)]",12
10,"[(12,), (12,), (12,), (8,), (7,), (8,)]",10
10,"[(12,), (12,), (12,), (8,), (7,), (7, 8)]",11
10,"[(12,), (12,), (12,), (8,), (7,)]",14
10,"[(12,), (12,), (12,), (8,)]",32
10,"[(12,), (12,), (12,), (7, 8), (12,), (8,)]",10
10,"[(12,), (12,), (12,), (7, 8), (12,)]",14
