minsup,Pattern,Support
10,88,"[(62,)]"
10,11,"[(61, 62, 63)]"
10,12,"[(61, 62), (12,)]"
10,10,"[(61, 62), (8,)]"
10,32,"[(61, 62)]"
10,12,"[(61,), (66,), (66,)]"
10,22,"[(61,), (66,)]"
10,19,"[(61,), (62,)]"
10,10,"[(61,), (61,), (66,)]"
10,11,"[(61,), (61,), (61,)]"
10,10,"[(61,), (61,), (7,)]"
10,28,"[(61,), (61,)]"
10,11,"[(61,), (48,)]"
10,13,"[(61,), (30,)]"
10,10,"[(61,), (25,)]"
10,10,"[(61,), (12,), (61,)]"
10,11,"[(61,), (12,), (12,), (12,)]"
10,10,"[(61,), (12,), (12,), (7, 8)]"
10,20,"[(61,), (12,), (12,)]"
10,11,"[(61,), (12,), (7, 8)]"
10,14,"[(61,), (12,), (7,)]"
10,27,"[(61,), (12,)]"
10,10,"[(61,), (8,), (8,)]"
10,18,"[(61,), (8,)]"
10,10,"[(61,), (7, 8), (12,)]"
10,20,"[(61,), (7, 8)]"
10,10,"[(61,), (7,), (12,), (12,)]"
10,10,"[(61,), (7,), (12,), (7,)]"
10,12,"[(61,), (7,), (12,)]"
10,13,"[(61,), (7,), (8,)]"
10,13,"[(61,), (7,), (7, 8)]"
10,10,"[(61,), (7,), (7,), (12,)]"
10,11,"[(61,), (7,), (7,), (8,)]"
10,11,"[(61,), (7,), (7,), (7, 8)]"
10,10,"[(61,), (7,), (7,), (7,), (7, 8)]"
10,11,"[(61,), (7,), (7,), (7,)]"
10,18,"[(61,), (7,), (7,)]"
10,24,"[(61,), (7,)]"
10,93,"[(61,)]"
10,19,"[(48,), (66,)]"
10,17,"[(48,), (62,)]"
10,11,"[(48,), (48,), (48,)]"
10,12,"[(48,), (48,), (30,)]"
10,27,"[(48,), (48,)]"
10,13,"[(48,), (43,)]"
10,11,"[(48,), (30,), (30,)]"
10,29,"[(48,), (30,)]"
10,10,"[(48,), (26,)]"
10,12,"[(48,), (12, 48)]"
10,15,"[(48,), (12,)]"
10,13,"[(48,), (8,)]"
10,88,"[(48,)]"
10,12,"[(45,)]"
10,33,"[(44,)]"
10,16,"[(43, 44)]"
10,13,"[(43,), (62,)]"
10,11,"[(43,), (61,)]"
10,11,"[(43,), (48,)]"
10,11,"[(43,), (43,)]"
10,16,"[(43,), (30,)]"
10,10,"[(43,), (12,)]"
10,48,"[(43,)]"
10,33,"[(30, 48)]"
10,26,"[(30,), (66,)]"
10,20,"[(30,), (62,)]"
10,10,"[(30,), (61,)]"
10,11,"[(30,), (48,), (48,)]"
10,13,"[(30,), (48,), (30,)]"
10,25,"[(30,), (48,)]"
10,10,"[(30,), (44,)]"
10,10,"[(30,), (43,)]"
10,12,"[(30,), (30,), (66,)]"
10,10,"[(30,), (30,), (62,)]"
10,10,"[(30,), (30,), (48,)]"
10,12,"[(30,), (30,), (30,), (30,)]"
10,10,"[(30,), (30,), (30,), (26,)]"
10,23,"[(30,), (30,), (30,)]"
10,13,"[(30,), (30,), (26,)]"
10,10,"[(30,), (30,), (12,)]"
10,10,"[(30,), (30,), (8,)]"
10,43,"[(30,), (30,)]"
10,10,"[(30,), (26,), (30,), (30,)]"
10,13,"[(30,), (26,), (30,)]"
10,10,"[(30,), (26,), (26,)]"
10,19,"[(30,), (26,)]"
10,13,"[(30,), (25, 26)]"
10,13,"[(30,), (25,), (30,)]"
10,10,"[(30,), (25,), (26,)]"
10,24,"[(30,), (25,)]"
10,10,"[(30,), (12, 30, 48)]"
10,21,"[(30,), (12,)]"
10,19,"[(30,), (8,)]"
10,10,"[(30,), (7, 8)]"
10,112,"[(30,)]"
10,10,"[(28,)]"
10,13,"[(27,)]"
10,19,"[(26, 44)]"
10,14,"[(26, 27)]"
10,15,"[(26,), (62,)]"
10,11,"[(26,), (48,)]"
10,10,"[(26,), (30,), (62,)]"
10,10,"[(26,), (30,), (48,)]"
10,11,"[(26,), (30,), (30,), (30,)]"
10,18,"[(26,), (30,), (30,)]"
10,11,"[(26,), (30,), (26,)]"
10,21,"[(26,), (30,)]"
10,16,"[(26,), (26,)]"
10,13,"[(26,), (25,)]"
10,13,"[(26,), (12,)]"
10,13,"[(26,), (8,)]"
10,45,"[(26,)]"
10,11,"[(25, 27)]"
10,20,"[(25, 26)]"
10,11,"[(25,), (62,)]"
10,11,"[(25,), (43,)]"
10,11,"[(25,), (30,), (30,)]"
10,23,"[(25,), (30,)]"
10,12,"[(25,), (26,)]"
10,17,"[(25,), (25,)]"
10,12,"[(25,), (12,)]"
10,10,"[(25,), (8,)]"
10,57,"[(25,)]"
10,13,"[(18,), (18,)]"
10,11,"[(18,), (12,)]"
10,11,"[(18,), (8,)]"
10,11,"[(18,), (7,)]"
10,24,"[(18,)]"
10,12,"[(14,), (12,), (12,)]"
10,12,"[(14,), (12,)]"
10,14,"[(14,), (8,)]"
10,21,"[(14,)]"
10,14,"[(13, 14)]"
10,13,"[(13,), (12,)]"
10,10,"[(13,), (7,)]"
10,20,"[(13,)]"
10,16,"[(12, 48), (12, 48)]"
10,13,"[(12, 48), (12,)]"
10,12,"[(12, 48), (8,)]"
10,37,"[(12, 48)]"
10,16,"[(12, 30, 48)]"
10,10,"[(12, 30), (30,)]"
10,24,"[(12, 30)]"
10,12,"[(12,), (66,), (66,)]"
